longitude,latitude,u_10m_component_of_wind,v_10m_component_of_wind,dewpoint_2m_temperature,temperature_2m,mean_sea_level_pressure,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,surface_sensible_heat_flux,top_net_solar_radiation,top_net_thermal_radiation,total_cloud_cover,total_precipitation
42,-91,0.37884414,-2.1297383,266.11212,269.76056,102875.13,463420.75,-95669.25,99643.85,-257942.94,951958.25,-771419.25,1,1.34E-05
42,-91,3.8968232,4.1193986,264.87146,268.98676,101922.81,673548.4,-151846.47,98714.305,-453015.28,1109768.8,-819537.7,0.6624754,2.59E-06
42,-91,3.3036964,3.9870443,268.94287,276.00693,101506.61,1241728.5,-355605.1,98388.06,-413138.22,1686754.9,-871624.25,0,0
42,-91,2.494242,-0.09111714,271.8881,279.70035,100832.92,1238629.5,-351534.88,97763.17,-313940.5,1697909,-907182.5,0,0
42,-91,4.3223853,-0.24828768,275.04227,282.22678,101240.51,1260544.2,-373125.62,98197.36,-263104.3,1699423.8,-889084.2,0.021485358,0
42,-91,-6.495755,2.1644177,273.3861,277.01917,102141.75,785944.75,-194201.47,99015.36,-277669.3,1262828.5,-641021.6,1,0
42,-91,6.0645294,2.3096397,282.9289,283.60016,99919.66,140011.38,1561.375,96938.57,46720.688,686186.6,-785325.1,0.9541605,0.00114705
42,-91,9.229647,-3.565413,269.938,279.25418,101546.19,1291534.9,-397071.7,98445.04,-521386.06,1689233.5,-891430.6,0.033448786,0
42,-91,4.3800135,-4.8521895,258.50763,266.23862,103113.28,1328004.2,-380666.88,99823.766,-835736.1,1713538.6,-835375.9,0,0
42,-91,-0.68506086,0.3224895,260.68558,268.00656,103164.625,1316936.1,-397133.7,99890.336,-576959.4,1730545.2,-841276.4,0.60986066,0
42,-91,-2.56108,3.3638773,265.53015,270.8955,102598.84,500166.75,-85710.66,99392.58,-250024.06,994165,-576202.4,1,0
42,-91,-5.5843434,-1.5856158,270.27322,272.22147,102648.09,308135.5,-65483.53,99445.95,-124383.06,836836.4,-584432,1,0.000606351
42,-91,-1.7808831,-2.405476,268.31012,272.12387,103167.37,365357.5,-91495.72,99948.51,-92849.06,903830.1,-797005.3,0.94396716,1.03E-06
42,-91,4.2487984,2.7627687,267.0872,267.95776,102870.83,416104.75,-140379.62,99631.86,-156058.44,929787.6,-809893.25,1,5.17E-06
42,-91,2.3364294,3.6809754,269.97577,270.81323,102186.82,298949,-58851.344,98991.375,-102040.56,853016.75,-837929.25,1,6.72E-06
42,-91,-2.6302338,-0.15453684,267.78482,271.54105,102604.33,591312.5,-182920.6,99399.77,-172603.19,1056270.1,-804665.6,0.87664235,0
42,-91,0.80617934,0.94106126,270.10324,271.68607,101977.805,514887.38,-185482.53,98799.47,-153583.81,1061778.4,-816449.4,0.893855,3.10E-06
42,-91,-4.3892236,-0.6361588,266.7956,269.9,102236.07,362922.5,-97384.09,99026.16,-98293.25,900249.75,-619990.3,1,7.44E-05
42,-91,-0.27191108,-6.4413586,260.46127,263.28696,102340.32,317654.12,-260481.92,99040.55,-4610.4375,817764.25,-789845.4,0.039888293,0
42,-91,-0.13980955,-3.0277247,255.05006,259.09573,103251.234,336469.88,-239387.05,99871.14,-48234.812,806541.25,-725440.2,0.99221766,0
42,-91,-5.3910675,3.7499099,257.90912,261.01566,103282.195,260542.75,-15669.906,99916.125,-135907.81,802410,-733255.75,0.8756962,5.18E-07
42,-91,-2.6630375,1.2076077,268.42346,268.79153,101620.39,93359.375,-2446.875,98442.04,-17125.062,676478.4,-604203.9,1,0.000422325
42,-91,3.979276,-3.8622909,263.17987,265.77295,101299.164,267460.38,-252010.92,98061.23,3308.375,809983.9,-792950.9,0.17018905,3.10E-06
42,-91,4.9492025,-3.0277247,259.33984,261.65982,101421.04,55.375,-252816.69,98164.98,117424.69,275.25,-778423.94,0.001709074,0
42,-91,10.090524,-6.487314,260.96768,263.1238,101757.69,300166.5,-289427.97,98473.23,45660.125,785265.6,-782202.3,0.94350934,1.03E-06
